date,ville,produit,prix
2020/12/01,Casablanca,HP,85400.31199999999
2023/12/01,Guercif Oulad,HP,94200.35299999999
2022/12/01,Qasbat Tadla,LENOVO,118166.463
2020/12/01,El Kelaa des Srarhna,HP,181711.51599999997
2021/12/01,Mohammedia,HP,94391.29899999998
2019/12/01,Larach,Mac,94059.21200000001
2020/12/01,Guelmim,LENOVO,75337.70999999999
2020/12/01,Inezgane,HEWAWI,66242.342
2019/12/01,Kouribga,HP,53104.721000000005
2020/12/01,Marrakech,Dell,109202.587
2020/12/01,Kenitra,Bic,129840.834
2020/12/01,Essaouira,HP,124884.69899999998
2020/12/01,Sidi Slimane,HP,199364.18500000003
2020/12/01,Sidi Slimane,HP,199364.1500000006
